productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
4 ка топ трусики Чорний L,495.0,900.0,4 ка топ трусики Чорний L | Category: 4 ка топ трусики,,,,
4 ка топ трусики Рожевий L,0.0,900.0,4 ка топ трусики Рожевий L | Category: 4 ка топ трусики,,,,
4 ка топ трусики Блакитний L,495.0,900.0,4 ка топ трусики Блакитний L | Category: 4 ка топ трусики,,,,
4 ка топ трусики Молочний L,495.0,900.0,4 ка топ трусики Молочний L | Category: 4 ка топ трусики,,,,
4 ка топ трусики Блакитний М,495.0,900.0,4 ка топ трусики Блакитний М | Category: 4 ка топ трусики,,,,
4 ка топ трусики Молочний М,495.0,900.0,4 ка топ трусики Молочний М | Category: 4 ка топ трусики,,,,
4 ка топ трусики Рожевий М,495.0,900.0,4 ка топ трусики Рожевий М | Category: 4 ка топ трусики,,,,
4 ка топ трусики Чорний М,495.0,900.0,4 ка топ трусики Чорний М | Category: 4 ка топ трусики,,,,
4 ка топ трусики Блакитний S,495.0,900.0,4 ка топ трусики Блакитний S | Category: 4 ка топ трусики,,,,
4 ка топ трусики Молочний S,495.0,900.0,4 ка топ трусики Молочний S | Category: 4 ка топ трусики,,,,
4 ка топ трусики Рожевий S,495.0,900.0,4 ка топ трусики Рожевий S | Category: 4 ка топ трусики,,,,
4 ка топ трусики Чорний S,495.0,900.0,4 ка топ трусики Чорний S | Category: 4 ка топ трусики,,,,
