productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
4ка шорти кардиган Молочний S,495.0,1500.0,4ка шорти кардиган Молочний S | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Блакитний S,495.0,1500.0,4ка шорти кардиган Блакитний S | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Рожевий S,495.0,1500.0,4ка шорти кардиган Рожевий S | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Чорний S,495.0,1500.0,4ка шорти кардиган Чорний S | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Блакитний М,495.0,1500.0,4ка шорти кардиган Блакитний М | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Молочний М,495.0,1500.0,4ка шорти кардиган Молочний М | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Рожевий М,495.0,1500.0,4ка шорти кардиган Рожевий М | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Чорний М,495.0,1500.0,4ка шорти кардиган Чорний М | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Блакитний L,495.0,1500.0,4ка шорти кардиган Блакитний L | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Молочний L,0.0,1500.0,4ка шорти кардиган Молочний L | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Рожевий L,0.0,1500.0,4ка шорти кардиган Рожевий L | Category: 4 ка шорти кардиган,,,,
4ка шорти кардиган Чорний L,495.0,1500.0,4ка шорти кардиган Чорний L | Category: 4 ка шорти кардиган,,,,
