productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Лонг оверсайз  в асортименті,750.0,750.0,Лонг оверсайз  в асортименті | Category: В асортименті,,,,
Лонг замок,381.3,800.0,Лонг замок | Category: В асортименті,,,,
Лонг замок марсала,396.33,950.0,Лонг замок марсала | Category: В асортименті,,,,
Коробка подарункова,40.0,75.0,Коробка подарункова | Category: В асортименті,,,,
Костюм Китай Топ + шортики Блакитний С,686.6,1100.0,Костюм Китай Топ + шортики Блакитний С | Category: В асортименті,,,,
Костюм Китай Топ + шортики Блакитний М,686.6,1100.0,Костюм Китай Топ + шортики Блакитний М | Category: В асортименті,,,,
Костюм Китай Топ + шортики Блакитний Л,686.6,1100.0,Костюм Китай Топ + шортики Блакитний Л | Category: В асортименті,,,,
Костюм Китай Топ + шортики Рожевий С,686.6,1100.0,Костюм Китай Топ + шортики Рожевий С | Category: В асортименті,,,,
Костюм Китай Топ + шортики Рожевий М,686.6,1100.0,Костюм Китай Топ + шортики Рожевий М | Category: В асортименті,,,,
Костюм Китай Топ + шортики Рожевий Л,686.6,1100.0,Костюм Китай Топ + шортики Рожевий Л | Category: В асортименті,,,,
Костюм Китай Топ + шортики Рожевий ХЛ,686.6,1100.0,Костюм Китай Топ + шортики Рожевий ХЛ | Category: В асортименті,,,,
Костюм Китай Топ + шортики Зелений С,686.6,1100.0,Костюм Китай Топ + шортики Зелений С | Category: В асортименті,,,,
Костюм Китай Топ + шортики Зелений М,686.6,1100.0,Костюм Китай Топ + шортики Зелений М | Category: В асортименті,,,,
Костюм Китай Топ + шортики Зелений Л,686.6,1100.0,Костюм Китай Топ + шортики Зелений Л | Category: В асортименті,,,,
Костюм Китай Топ + шортики Червоний С,686.6,1100.0,Костюм Китай Топ + шортики Червоний С | Category: В асортименті,,,,
Костюм Китай Топ + шортики Червоний М,686.6,1100.0,Костюм Китай Топ + шортики Червоний М | Category: В асортименті,,,,
Костюм Китай Топ + шортики Червоний Л,686.6,1100.0,Костюм Китай Топ + шортики Червоний Л | Category: В асортименті,,,,
Костюм Китай Топ + шортики Червоний ХЛ,686.0,1100.0,Костюм Китай Топ + шортики Червоний ХЛ | Category: В асортименті,,,,
Костюм Китай Топ + шортики Жовтий С,686.6,1100.0,Костюм Китай Топ + шортики Жовтий С | Category: В асортименті,,,,
Костюм Китай Топ + шортики Жовтий М,686.6,1100.0,Костюм Китай Топ + шортики Жовтий М | Category: В асортименті,,,,
Костюм Китай Топ + шортики Жовтий Л,686.6,1100.0,Костюм Китай Топ + шортики Жовтий Л | Category: В асортименті,,,,
Костюм Китай Топ + шортики Ніжно-рожевий С,686.6,1100.0,Костюм Китай Топ + шортики Ніжно-рожевий С | Category: В асортименті,,,,
Костюм Китай Топ + шортики Ніжно-рожевий М,686.6,1100.0,Костюм Китай Топ + шортики Ніжно-рожевий М | Category: В асортименті,,,,
Костюм Китай Топ + шортики Ніжно-рожевий Л,686.6,1100.0,Костюм Китай Топ + шортики Ніжно-рожевий Л | Category: В асортименті,,,,
Костюм Китай Топ + шортики Оранж С,686.6,1100.0,Костюм Китай Топ + шортики Оранж С | Category: В асортименті,,,,
Костюм Китай Топ + шортики Оранж М,686.6,1100.0,Костюм Китай Топ + шортики Оранж М | Category: В асортименті,,,,
