productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Предоплата,0.0,150.0,Предоплата | Category: Головний екран,,,,
Рітуалс Набір ХЛ нова колекція,2900.0,3500.0,Рітуалс Набір ХЛ нова колекція | Category: Головний екран,,,,
Крем для тіла рітуалс нова колекція,1160.0,1450.0,Крем для тіла рітуалс нова колекція | Category: Головний екран,,,,
Міст для тіла Рітуалс нова колекція,1200.0,1450.0,Міст для тіла Рітуалс нова колекція | Category: Головний екран,,,,
Рітуалс Парфум для оселі,1378.0,1850.0,Рітуалс Парфум для оселі | Category: Головний екран,,,,
Скраб Рітуалс нова колекціяя,930.0,1100.0,Скраб Рітуалс нова колекціяя | Category: Головний екран,,,,
Предоплата.,0.0,413.0,Предоплата. | Category: Головний екран,,,,
15% за султан,0.0,337.5,15% за султан | Category: Головний екран,,,,
тест товар Інспірадора,602.0,850.0,тест товар Інспірадора | Category: Головний екран,,,,
тест лосини Інспірадора,750.0,950.0,тест лосини Інспірадора | Category: Головний екран,,,,
тест комбез Інспірадора Л,690.0,1200.0,тест комбез Інспірадора Л | Category: Головний екран,,,,
Джинси,1630.0,2100.0,Джинси | Category: Головний екран,,,,
Джинси шоко,1166.67,1850.0,Джинси шоко | Category: Головний екран,,,,
