productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Олівець для губ,79.0,150.0,Олівець для губ | Category: Косметика,,,,
Скраб рітуалс Сакура,640.0,990.0,Скраб рітуалс Сакура | Category: Косметика,,,,
Діфузор авто,0.0,0.0,Діфузор авто | Category: Косметика,,,,
міні-набір 2-ка рітуалс,547.0,775.0,міні-набір 2-ка рітуалс | Category: Косметика,,,,
Скраб рітуалс Аюрведа,780.0,990.0,Скраб рітуалс Аюрведа | Category: Косметика,,,,
Антиперспірант,469.99,650.0,Антиперспірант | Category: Косметика,,,,
Набір рітуалс 3-ка,695.0,990.0,Набір рітуалс 3-ка | Category: Косметика,,,,
Пінка велика рітуалс,383.0,590.0,Пінка велика рітуалс | Category: Косметика,,,,
Набір рітуалс 3-ка чоловічий,697.5,950.0,Набір рітуалс 3-ка чоловічий | Category: Косметика,,,,
Рефіл для автопарфума,605.0,790.0,Рефіл для автопарфума | Category: Косметика,,,,
Міні-пінка рітуалс,232.66,350.0,Міні-пінка рітуалс | Category: Косметика,,,,
Чоловічий набір Л,1900.0,2500.0,Чоловічий набір Л | Category: Косметика,,,,
Автопарфум рітуалс,759.0,990.0,Автопарфум рітуалс | Category: Косметика,,,,
Олійка для засмаги,0.1,1250.0,Олійка для засмаги | Category: Косметика,,,,
Блиск Роуд,748.5,1100.0,Блиск Роуд | Category: Косметика,,,,
Набір 2-ка з бальзамом рітуалс,730.0,1100.0,Набір 2-ка з бальзамом рітуалс | Category: Косметика,,,,
СПФ BALIBODY,0.1,1300.0,СПФ BALIBODY | Category: Косметика,,,,
Пінка Рітуалс нова колекція,590.0,720.0,Пінка Рітуалс нова колекція | Category: Косметика,,,,
Міст VS,231.09,550.0,Міст VS | Category: Косметика,,,,
Лосьйон VS,242.04,550.0,Лосьйон VS | Category: Косметика,,,,
Лосьйон VS великий,213.77,650.0,Лосьйон VS великий | Category: Косметика,,,,
Косметичка,0.0,700.0,Косметичка | Category: Косметика,,,,
Олійка для засмаги VS,220.0,650.0,Олійка для засмаги VS | Category: Косметика,,,,
Блиск Ліпс,288.33,490.0,Блиск Ліпс | Category: Косметика,,,,
Пінка рітуалс Йозакура,451.09,650.0,Пінка рітуалс Йозакура | Category: Косметика,,,,
Скраб рітуалс Алхімія,576.02,810.0,Скраб рітуалс Алхімія | Category: Косметика,,,,
Чоловічий набір М,1741.2,2500.0,Чоловічий набір М | Category: Косметика,,,,
Набір рітуалс Хаммам,1480.0,2200.0,Набір рітуалс Хаммам | Category: Косметика,,,,
Набір рітуалс 2-ка чоловічий,450.0,685.0,Набір рітуалс 2-ка чоловічий | Category: Косметика,,,,
Набір рітуалс 4-ка Аюрведа,1276.0,1475.0,Набір рітуалс 4-ка Аюрведа | Category: Косметика,,,,
Аромадифузор рітуалс,845.0,985.0,Аромадифузор рітуалс | Category: Косметика,,,,
Антиперспірант чоловічий,542.99,650.0,Антиперспірант чоловічий | Category: Косметика,,,,
Набір Міст VS,265.0,1050.0,Набір Міст VS | Category: Косметика,,,,
Автопарфум рітуалс Спрей,388.6,650.0,Автопарфум рітуалс Спрей | Category: Косметика,,,,
