productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Кроп подійний  ПА Шоколад L,0.01,800.0,Кроп подійний  ПА Шоколад L | Category: Кроп- топи (короткий рукав),,,,
Кроп відкрита спинка Чорний М,422.4,750.0,Кроп відкрита спинка Чорний М | Category: Кроп- топи (короткий рукав),,,,
Кроп відкрита спинка Чорний Л,422.4,750.0,Кроп відкрита спинка Чорний Л | Category: Кроп- топи (короткий рукав),,,,
Кроп рубчик СМ Чорний,377.33,750.0,Кроп рубчик СМ Чорний | Category: Кроп- топи (короткий рукав),,,,
Кроп рубчик  ЛХЛ Чорний,377.0,750.0,Кроп рубчик  ЛХЛ Чорний | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Чорний С,328.7,550.0,Кроп легенький Чорний С | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Чорний М,328.7,550.0,Кроп легенький Чорний М | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз М Бордо,337.25,550.0,Футболка Кроп оверсайз М Бордо | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Шоколад С,328.7,550.0,Кроп легенький Шоколад С | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Чорний Л,331.85,550.0,Кроп легенький Чорний Л | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз М Чорний,361.0,550.0,Футболка Кроп оверсайз М Чорний | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз Л Чорний,337.0,550.0,Футболка Кроп оверсайз Л Чорний | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Шоколад М,328.7,550.0,Кроп легенький Шоколад М | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Шоколад Л,328.7,550.0,Кроп легенький Шоколад Л | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Блакитний С,328.7,550.0,Кроп легенький Блакитний С | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Блакитний М,328.7,550.0,Кроп легенький Блакитний М | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз Білий М,361.0,585.0,Футболка Кроп оверсайз Білий М | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз Червоний М,361.0,550.0,Футболка Кроп оверсайз Червоний М | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Марсала С,328.7,550.0,Кроп легенький Марсала С | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Марсала М,328.7,550.0,Кроп легенький Марсала М | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Марсала Л,328.7,550.0,Кроп легенький Марсала Л | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Синій Л,328.7,550.0,Кроп легенький Синій Л | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Синій С,328.7,550.0,Кроп легенький Синій С | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз Білий С,353.0,550.0,Футболка Кроп оверсайз Білий С | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз Чорний С,350.17,550.0,Футболка Кроп оверсайз Чорний С | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Молочний Л,328.7,550.0,Кроп легенький Молочний Л | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Молочний С,328.7,550.0,Кроп легенький Молочний С | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Молочний М,328.7,550.0,Кроп легенький Молочний М | Category: Кроп- топи (короткий рукав),,,,
Кроп легенький Синій М,328.7,550.0,Кроп легенький Синій М | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Рожева М,385.85,650.0,Футболка скімс подовжена Рожева М | Category: Кроп- топи (короткий рукав),,,,
Кроп оверсайз Ментол,270.0,585.0,Кроп оверсайз Ментол | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Рожева С,385.95,650.0,Футболка скімс подовжена Рожева С | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Білий С,394.25,650.0,Футболка скімс подовжена Білий С | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Білий М,385.95,650.0,Футболка скімс подовжена Білий М | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Слива М,385.95,650.0,Футболка скімс подовжена Слива М | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Слива С,385.95,650.0,Футболка скімс подовжена Слива С | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Чорний С,385.95,650.0,Футболка скімс подовжена Чорний С | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Чорний М,385.95,650.0,Футболка скімс подовжена Чорний М | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Чорний Л,350.0,650.0,Футболка скімс подовжена Чорний Л | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Слива Л,385.95,650.0,Футболка скімс подовжена Слива Л | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Рожева Л,394.25,650.0,Футболка скімс подовжена Рожева Л | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Білий Л,398.4,650.0,Футболка скімс подовжена Білий Л | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Шоколад С,385.95,650.0,Футболка скімс подовжена Шоколад С | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Шоколад М,385.95,650.0,Футболка скімс подовжена Шоколад М | Category: Кроп- топи (короткий рукав),,,,
Футболка скімс подовжена Шоколад Л,385.95,650.0,Футболка скімс подовжена Шоколад Л | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз Синій С,353.0,585.0,Футболка Кроп оверсайз Синій С | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз Бордо С,353.69,550.0,Футболка Кроп оверсайз Бордо С | Category: Кроп- топи (короткий рукав),,,,
Футболка Кроп оверсайз Червоний С,353.43,550.0,Футболка Кроп оверсайз Червоний С | Category: Кроп- топи (короткий рукав),,,,
