productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Кроп класичний Чорний СМ,219.0,500.0,Кроп класичний Чорний СМ | Category: Кроп класичний,,,,
Кроп класичний Білий СМ,269.8,500.0,Кроп класичний Білий СМ | Category: Кроп класичний,,,,
Кроп класичний Рожевий СМ,289.75,500.0,Кроп класичний Рожевий СМ | Category: Кроп класичний,,,,
Кроп класичний Графіт СМ,269.8,500.0,Кроп класичний Графіт СМ | Category: Кроп класичний,,,,
Кроп класичний Фіолетовий СМ,0.0,500.0,Кроп класичний Фіолетовий СМ | Category: Кроп класичний,,,,
Кроп класичний Малина СМ,282.52,500.0,Кроп класичний Малина СМ | Category: Кроп класичний,,,,
Кроп класичний Блакитний СМ,269.8,500.0,Кроп класичний Блакитний СМ | Category: Кроп класичний,,,,
Кроп класичний Зелений СМ,189.53,500.0,Кроп класичний Зелений СМ | Category: Кроп класичний,,,,
Кроп класичний Беж СМ,269.8,500.0,Кроп класичний Беж СМ | Category: Кроп класичний,,,,
Кроп класичний Гірчичний СМ,0.0,500.0,Кроп класичний Гірчичний СМ | Category: Кроп класичний,,,,
Кроп класичний Оранж СМ,0.0,500.0,Кроп класичний Оранж СМ | Category: Кроп класичний,,,,
Кроп класичний Ментол СМ,0.0,500.0,Кроп класичний Ментол СМ | Category: Кроп класичний,,,,
Кроп класичний Вино СМ,0.0,500.0,Кроп класичний Вино СМ | Category: Кроп класичний,,,,
Кроп класичний Молочний СМ,284.93,500.0,Кроп класичний Молочний СМ | Category: Кроп класичний,,,,
Кроп класичний Смарагд СМ,0.0,500.0,Кроп класичний Смарагд СМ | Category: Кроп класичний,,,,
Кроп класичний Мокко СМ,269.8,500.0,Кроп класичний Мокко СМ | Category: Кроп класичний,,,,
Кроп класичний Шоколад СМ,225.0,500.0,Кроп класичний Шоколад СМ | Category: Кроп класичний,,,,
Кроп класичний Графіт L XL,269.8,500.0,Кроп класичний Графіт L XL | Category: Кроп класичний,,,,
Кроп класичний Чорний L XL,269.8,500.0,Кроп класичний Чорний L XL | Category: Кроп класичний,,,,
Кроп класичний Марсала L XL,269.8,500.0,Кроп класичний Марсала L XL | Category: Кроп класичний,,,,
Кроп класичний Жуйка СМ,275.12,500.0,Кроп класичний Жуйка СМ | Category: Кроп класичний,,,,
Кроп класичний Мокко ЛХЛ,292.8,500.0,Кроп класичний Мокко ЛХЛ | Category: Кроп класичний,,,,
Кроп класичний Ліловий СМ,269.8,500.0,Кроп класичний Ліловий СМ | Category: Кроп класичний,,,,
Кроп класичний Фісташка СМ,225.0,500.0,Кроп класичний Фісташка СМ | Category: Кроп класичний,,,,
Кроп класичний Білий ЛХЛ,280.92,500.0,Кроп класичний Білий ЛХЛ | Category: Кроп класичний,,,,
Кроп класичний Персик СМ,300.7,500.0,Кроп класичний Персик СМ | Category: Кроп класичний,,,,
Кроп класичний Молочний ЛХЛ,269.8,500.0,Кроп класичний Молочний ЛХЛ | Category: Кроп класичний,,,,
Кроп класичний Шоколад ЛХЛ,269.8,500.0,Кроп класичний Шоколад ЛХЛ | Category: Кроп класичний,,,,
Кроп класичний Електрик СМ,289.75,500.0,Кроп класичний Електрик СМ | Category: Кроп класичний,,,,
Кроп класичний Червоний СМ,289.72,500.0,Кроп класичний Червоний СМ | Category: Кроп класичний,,,,
Кроп класичний Марсала СМ,269.8,500.0,Кроп класичний Марсала СМ | Category: Кроп класичний,,,,
Кроп класичний Пудра СМ,289.75,500.0,Кроп класичний Пудра СМ | Category: Кроп класичний,,,,
Кроп класичний Беж ЛХЛ,269.8,500.0,Кроп класичний Беж ЛХЛ | Category: Кроп класичний,,,,
Кроп класичний Синій СМ,269.8,500.0,Кроп класичний Синій СМ | Category: Кроп класичний,,,,
Кроп Замок,365.75,600.0,Кроп Замок | Category: Кроп класичний,,,,
Кроп класичний Хакі СМ,289.75,500.0,Кроп класичний Хакі СМ | Category: Кроп класичний,,,,
Кроп класичний Свіжий голубий СМ,300.7,500.0,Кроп класичний Свіжий голубий СМ | Category: Кроп класичний,,,,
Кроп класичний Сірий СМ,285.0,500.0,Кроп класичний Сірий СМ | Category: Кроп класичний,,,,
