productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Лосини 5 Тіфані S,284.0,750.0,Лосини 5 Тіфані S | Category: Лосини 5,,74.0,,
Лосини 5 Фіолетовий S,284.0,750.0,Лосини 5 Фіолетовий S | Category: Лосини 5,,75.0,,
Лосини 5 Фіолетовий M,284.0,750.0,Лосини 5 Фіолетовий M | Category: Лосини 5,,76.0,,
Лосини 5 Ліловий M,284.0,750.0,Лосини 5 Ліловий M | Category: Лосини 5,,77.0,,
Лосини 5 Тіфані M,284.0,750.0,Лосини 5 Тіфані M | Category: Лосини 5,,78.0,,
Лосини 5 Тіфані L,284.0,750.0,Лосини 5 Тіфані L | Category: Лосини 5,,79.0,,
Лосини 5 Рожевий L,284.0,750.0,Лосини 5 Рожевий L | Category: Лосини 5,,80.0,,
Лосини 5 Фіолетовий L,284.0,750.0,Лосини 5 Фіолетовий L | Category: Лосини 5,,81.0,,
Лосини 5 Ліловий L,284.0,750.0,Лосини 5 Ліловий L | Category: Лосини 5,,82.0,,
Лосини 5 Рожевий  S,284.0,750.0,Лосини 5 Рожевий  S | Category: Лосини 5,,,,
Лосини 5 Рожевий M,284.0,750.0,Лосини 5 Рожевий M | Category: Лосини 5,,,,
