productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Лосини V pa Чорний S,492.9,750.0,Лосини V pa Чорний S | Category: Лосини V pa,,,,
Лосини V pa Графіт  S,492.9,750.0,Лосини V pa Графіт  S | Category: Лосини V pa,,,,
Лосини V pa Чорний М,496.45,750.0,Лосини V pa Чорний М | Category: Лосини V pa,,,,
Лосини V pa Графіт М,492.92,750.0,Лосини V pa Графіт М | Category: Лосини V pa,,,,
Лосини V pa Графіт  L,472.6,0.0,Лосини V pa Графіт  L | Category: Лосини V pa,,,,
Лосини V pa Чорний L,0.0,0.0,Лосини V pa Чорний L | Category: Лосини V pa,,,,
Лосини Зразок К V pa С,45.86,750.0,Лосини Зразок К V pa С | Category: Лосини V pa,,,,
Лосини V pa Білий М,503.5,750.0,Лосини V pa Білий М | Category: Лосини V pa,,,,
Лосини V pa Шоколад  S,514.1,750.0,Лосини V pa Шоколад  S | Category: Лосини V pa,,,,
Лосини V pa Синій  S,503.5,750.0,Лосини V pa Синій  S | Category: Лосини V pa,,,,
Лосини V pa Білий  S,503.5,750.0,Лосини V pa Білий  S | Category: Лосини V pa,,,,
Лосини V pa Рожевий  S,463.12,750.0,Лосини V pa Рожевий  S | Category: Лосини V pa,,,,
Лосини V pa Рожевий L,472.6,750.0,Лосини V pa Рожевий L | Category: Лосини V pa,,,,
Лосини V pa Блакитний  S,458.25,750.0,Лосини V pa Блакитний  S | Category: Лосини V pa,,,,
Лосини V pa Блакитний М,446.5,750.0,Лосини V pa Блакитний М | Category: Лосини V pa,,,,
Лосини V pa Беж  S,458.25,750.0,Лосини V pa Беж  S | Category: Лосини V pa,,,,
Лосини V pa Беж М,446.5,750.0,Лосини V pa Беж М | Category: Лосини V pa,,,,
Лосини V pa Рожевий М,446.5,750.0,Лосини V pa Рожевий М | Category: Лосини V pa,,,,
Лосини V pa Молочний  S,503.5,750.0,Лосини V pa Молочний  S | Category: Лосини V pa,,,,
Лосини V pa Молочний М,503.5,750.0,Лосини V pa Молочний М | Category: Лосини V pa,,,,
Лосини V pa Олива S,470.0,750.0,Лосини V pa Олива S | Category: Лосини V pa,,,,
Лосини V pa Олива М,446.5,750.0,Лосини V pa Олива М | Category: Лосини V pa,,,,
Лосини V pa Шоколад  M,492.92,750.0,Лосини V pa Шоколад  M | Category: Лосини V pa,,,,
