productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Лосини з PU Сірий S,255.25,750.0,Лосини з PU Сірий S | Category: Лосини з PU,,1.0,,
Лосини з PU Світло сірий S,228.98,750.0,Лосини з PU Світло сірий S | Category: Лосини з PU,,2.0,,
Лосини з PU Графіт S,376.65,750.0,Лосини з PU Графіт S | Category: Лосини з PU,,3.0,,
Лосини з PU Білий S,384.75,750.0,Лосини з PU Білий S | Category: Лосини з PU,,4.0,,
Лосини з PU Чорний S,226.53,750.0,Лосини з PU Чорний S | Category: Лосини з PU,,5.0,,
Лосини з PU Рожевий S,384.75,750.0,Лосини з PU Рожевий S | Category: Лосини з PU,,6.0,,
Лосини з PU Фуксія S,245.0,750.0,Лосини з PU Фуксія S | Category: Лосини з PU,,7.0,,
Лосини з PU Смарагд S,337.83,750.0,Лосини з PU Смарагд S | Category: Лосини з PU,,8.0,,
Лосини з PU Зелений S,213.0,750.0,Лосини з PU Зелений S | Category: Лосини з PU,,9.0,,
Лосини з PU Салатовий S,337.83,750.0,Лосини з PU Салатовий S | Category: Лосини з PU,,10.0,,
Лосини з PU Вино S,245.0,750.0,Лосини з PU Вино S | Category: Лосини з PU,,11.0,,
Лосини з PU Оранж S,142.34,750.0,Лосини з PU Оранж S | Category: Лосини з PU,,12.0,,
Лосини з PU Мокко S,0.0,750.0,Лосини з PU Мокко S | Category: Лосини з PU,,13.0,,
Лосини з PU Шоколад S,376.65,750.0,Лосини з PU Шоколад S | Category: Лосини з PU,,14.0,,
Лосини з PU Цегла S,0.0,750.0,Лосини з PU Цегла S | Category: Лосини з PU,,15.0,,
Лосини з PU Фіолетовий S,337.83,750.0,Лосини з PU Фіолетовий S | Category: Лосини з PU,,16.0,,
Лосини з PU Ліловий S,222.14,750.0,Лосини з PU Ліловий S | Category: Лосини з PU,,17.0,,
Лосини з PU Лаванда S,388.8,750.0,Лосини з PU Лаванда S | Category: Лосини з PU,,18.0,,
Лосини з PU Тіфані S,0.0,750.0,Лосини з PU Тіфані S | Category: Лосини з PU,,19.0,,
Лосини з PU Нюд S,213.0,750.0,Лосини з PU Нюд S | Category: Лосини з PU,,20.0,,
Лосини з PU Пісок S,233.81,750.0,Лосини з PU Пісок S | Category: Лосини з PU,,21.0,,
Лосини з PU Олива S,317.58,750.0,Лосини з PU Олива S | Category: Лосини з PU,,22.0,,
Лосини з PU Фісташка S,0.0,750.0,Лосини з PU Фісташка S | Category: Лосини з PU,,23.0,,
Лосини з PU Жуйка S,0.0,750.0,Лосини з PU Жуйка S | Category: Лосини з PU,,24.0,,
Лосини з PU Електрик S,221.37,750.0,Лосини з PU Електрик S | Category: Лосини з PU,,25.0,,
Лосини з PU Синій S,213.0,750.0,Лосини з PU Синій S | Category: Лосини з PU,,26.0,,
Лосини з PU Червоний S,270.7,750.0,Лосини з PU Червоний S | Category: Лосини з PU,,27.0,,
Лосини з PU Сірий M,201.26,750.0,Лосини з PU Сірий M | Category: Лосини з PU,,28.0,,
Лосини з PU Світло сірий M,245.0,750.0,Лосини з PU Світло сірий M | Category: Лосини з PU,,29.0,,
Лосини з PU Графіт M,376.66,750.0,Лосини з PU Графіт M | Category: Лосини з PU,,30.0,,
Лосини з PU Білий M,380.7,750.0,Лосини з PU Білий M | Category: Лосини з PU,,31.0,,
Лосини з PU Чорний M,83.72,750.0,Лосини з PU Чорний M | Category: Лосини з PU,,32.0,,
Лосини з PU Рожевий M,384.75,750.0,Лосини з PU Рожевий M | Category: Лосини з PU,,33.0,,
Лосини з PU Фуксія M,267.86,750.0,Лосини з PU Фуксія M | Category: Лосини з PU,,34.0,,
Лосини з PU Смарагд M,0.0,750.0,Лосини з PU Смарагд M | Category: Лосини з PU,,35.0,,
