productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Раш класичний Смарагд CM,0.01,750.0,Раш класичний Смарагд CM | Category: Раш класичний,,,,
Раш класичний Зелений CM,379.05,750.0,Раш класичний Зелений CM | Category: Раш класичний,,,,
Раш класичний Фіолетовий CM,0.0,750.0,Раш класичний Фіолетовий CM | Category: Раш класичний,,,,
Раш класичний Персик CM,285.0,750.0,Раш класичний Персик CM | Category: Раш класичний,,,,
Раш класичний Синій CM,379.05,750.0,Раш класичний Синій CM | Category: Раш класичний,,,,
Раш класичний Білий CM,369.91,750.0,Раш класичний Білий CM | Category: Раш класичний,,,,
Раш класичний Чорний CM,346.4,750.0,Раш класичний Чорний CM | Category: Раш класичний,,,,
Раш класичний Пудра CM,0.0,750.0,Раш класичний Пудра CM | Category: Раш класичний,,,,
Раш класичний Ментол CM,377.0,750.0,Раш класичний Ментол CM | Category: Раш класичний,,,,
Раш класичний Малина CM,361.0,750.0,Раш класичний Малина CM | Category: Раш класичний,,,,
Раш класичний Беж CM,371.02,750.0,Раш класичний Беж CM | Category: Раш класичний,,,,
Раш класичний Графіт CM,285.0,750.0,Раш класичний Графіт CM | Category: Раш класичний,,,,
Раш класичний Беж ЛХЛ,374.3,750.0,Раш класичний Беж ЛХЛ | Category: Раш класичний,,,,
Раш класичний Білий ЛХЛ,370.5,750.0,Раш класичний Білий ЛХЛ | Category: Раш класичний,,,,
Раш класичний Графіт ЛХЛ,285.0,750.0,Раш класичний Графіт ЛХЛ | Category: Раш класичний,,,,
Раш класичний Чорний ЛХЛ,372.72,750.0,Раш класичний Чорний ЛХЛ | Category: Раш класичний,,,,
Раш класичний Синій ЛХЛ,368.6,750.0,Раш класичний Синій ЛХЛ | Category: Раш класичний,,,,
Раш класичний Блакитний CM,361.0,750.0,Раш класичний Блакитний CM | Category: Раш класичний,,,,
Раш класичний Жуйка CM,361.0,750.0,Раш класичний Жуйка CM | Category: Раш класичний,,,,
Раш класичний Мокко ЛХЛ,379.05,750.0,Раш класичний Мокко ЛХЛ | Category: Раш класичний,,,,
Раш класичний Молочний CM,369.08,750.0,Раш класичний Молочний CM | Category: Раш класичний,,,,
Раш класичний Шоколад CM,377.1,750.0,Раш класичний Шоколад CM | Category: Раш класичний,,,,
Раш класичний Сірий CM,285.0,750.0,Раш класичний Сірий CM | Category: Раш класичний,,,,
Раш класичний Рожевий CM,377.1,750.0,Раш класичний Рожевий CM | Category: Раш класичний,,,,
Раш класичний Мокко СМ,285.0,750.0,Раш класичний Мокко СМ | Category: Раш класичний,,,,
Раш класичний Марсала CM,379.05,750.0,Раш класичний Марсала CM | Category: Раш класичний,,,,
Раш класичний Молочний ЛХЛ,359.1,750.0,Раш класичний Молочний ЛХЛ | Category: Раш класичний,,,,
Раш класичний Шоколад ЛХЛ,359.19,750.0,Раш класичний Шоколад ЛХЛ | Category: Раш класичний,,,,
Раш класичний Марсала ЛХЛ,379.05,750.0,Раш класичний Марсала ЛХЛ | Category: Раш класичний,,,,
Раш класичний Свіжий голубий CM,379.05,750.0,Раш класичний Свіжий голубий CM | Category: Раш класичний,,,,
Раш класичний Фісташка CM,285.0,750.0,Раш класичний Фісташка CM | Category: Раш класичний,,,,
Раш класичний Електрик CM,285.0,750.0,Раш класичний Електрик CM | Category: Раш класичний,,,,
Раш легенький Чорний М,348.75,750.0,Раш легенький Чорний М | Category: Раш класичний,,,,
Раш легенький Чорний С,375.0,750.0,Раш легенький Чорний С | Category: Раш класичний,,,,
Раш легенький Чорний Л,348.75,750.0,Раш легенький Чорний Л | Category: Раш класичний,,,,
Раш легенький Шоколад С,348.75,750.0,Раш легенький Шоколад С | Category: Раш класичний,,,,
Раш легенький Шоколад М,375.0,750.0,Раш легенький Шоколад М | Category: Раш класичний,,,,
Раш легенький Шоколад Л,375.0,750.0,Раш легенький Шоколад Л | Category: Раш класичний,,,,
Раш легенький Молочний С,348.75,750.0,Раш легенький Молочний С | Category: Раш класичний,,,,
Раш легенький Молочний М,348.75,750.0,Раш легенький Молочний М | Category: Раш класичний,,,,
Раш легенький Молочний Л,375.0,750.0,Раш легенький Молочний Л | Category: Раш класичний,,,,
Раш легенький Марсала С,348.75,750.0,Раш легенький Марсала С | Category: Раш класичний,,,,
Раш легенький Марсала М,348.75,750.0,Раш легенький Марсала М | Category: Раш класичний,,,,
Раш легенький Марсала Л,348.75,750.0,Раш легенький Марсала Л | Category: Раш класичний,,,,
Раш класичний Хакі CM,377.0,750.0,Раш класичний Хакі CM | Category: Раш класичний,,,,
