productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Стрінги в рубчик Мокко S M,136.32,250.0,Стрінги в рубчик Мокко S M | Category: Стрінги рубчик,,,,
Стрінги в рубчик Графіт S M,136.0,250.0,Стрінги в рубчик Графіт S M | Category: Стрінги рубчик,,,,
Стрінги в рубчик Білий S M,136.32,250.0,Стрінги в рубчик Білий S M | Category: Стрінги рубчик,,,,
Стрінги в рубчик Чорний S M,135.61,250.0,Стрінги в рубчик Чорний S M | Category: Стрінги рубчик,,,,
Стрінги в рубчик Беж S M,136.32,250.0,Стрінги в рубчик Беж S M | Category: Стрінги рубчик,,,,
Стрінги в рубчик Беж L XL,137.74,250.0,Стрінги в рубчик Беж L XL | Category: Стрінги рубчик,,,,
Стрінги в рубчик Чорний L XL,134.9,250.0,Стрінги в рубчик Чорний L XL | Category: Стрінги рубчик,,,,
Стрінги в рубчик Білий L XL,137.74,250.0,Стрінги в рубчик Білий L XL | Category: Стрінги рубчик,,,,
Стрінги в рубчик Графіт L XL,0.0,250.0,Стрінги в рубчик Графіт L XL | Category: Стрінги рубчик,,,,
Стрінги в рубчик Мокко L XL,137.74,250.0,Стрінги в рубчик Мокко L XL | Category: Стрінги рубчик,,,,
Стрінги в рубчик Шоколад L XL,142.5,250.0,Стрінги в рубчик Шоколад L XL | Category: Стрінги рубчик,,,,
