productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Термо кофта  Білий S,336.36,650.0,Термо кофта  Білий S | Category: Термо-кофта,,,,
Термо кофта  Чорний S,370.0,650.0,Термо кофта  Чорний S | Category: Термо-кофта,,,,
Термо кофта  Молочний S,370.0,650.0,Термо кофта  Молочний S | Category: Термо-кофта,,,,
Термо кофта  Графіт S,370.0,650.0,Термо кофта  Графіт S | Category: Термо-кофта,,,,
Термо кофта  Шоколад S,322.9,600.0,Термо кофта  Шоколад S | Category: Термо-кофта,,,,
Термо кофта  Білий М,322.9,650.0,Термо кофта  Білий М | Category: Термо-кофта,,,,
Термо кофта  Графіт М,370.0,650.0,Термо кофта  Графіт М | Category: Термо-кофта,,,,
Термо кофта  Молочний М,354.1,650.0,Термо кофта  Молочний М | Category: Термо-кофта,,,,
Термо кофта  Чорний М,370.0,650.0,Термо кофта  Чорний М | Category: Термо-кофта,,,,
Термо кофта  Шоколад М,370.0,650.0,Термо кофта  Шоколад М | Category: Термо-кофта,,,,
Термо кофта  Білий L,322.9,650.0,Термо кофта  Білий L | Category: Термо-кофта,,,,
Термо кофта  Графіт L,322.9,650.0,Термо кофта  Графіт L | Category: Термо-кофта,,,,
Термо кофта  Молочний L,360.0,650.0,Термо кофта  Молочний L | Category: Термо-кофта,,,,
Термо кофта  Чорний L,295.0,650.0,Термо кофта  Чорний L | Category: Термо-кофта,,,,
Термо кофта  Шоколад L,0.0,650.0,Термо кофта  Шоколад L | Category: Термо-кофта,,,,
Термо кофта з вирізом під пальчик S,337.5,650.0,Термо кофта з вирізом під пальчик S | Category: Термо-кофта,,,,
Термо кофта з вирізом під пальчик низький зріст S,337.5,650.0,Термо кофта з вирізом під пальчик низький зріст S | Category: Термо-кофта,,,,
Термо кофта з вирізом під пальчик низький зріст М,337.5,650.0,Термо кофта з вирізом під пальчик низький зріст М | Category: Термо-кофта,,,,
Термо кофта  Карамель S,322.9,650.0,Термо кофта  Карамель S | Category: Термо-кофта,,,,
Термо кофта  Карамель М,322.9,650.0,Термо кофта  Карамель М | Category: Термо-кофта,,,,
Термо кофта  Чорний  XL,346.45,650.0,Термо кофта  Чорний  XL | Category: Термо-кофта,,,,
Термо кофта  Чорний  3XL,322.9,650.0,Термо кофта  Чорний  3XL | Category: Термо-кофта,,,,
