productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Термо лосини  Білий S,322.3,650.0,Термо лосини  Білий S | Category: Термо лосини,,,,
Термо лосини  Чорний S,370.0,650.0,Термо лосини  Чорний S | Category: Термо лосини,,,,
Термо лосини  Молочний S,370.0,650.0,Термо лосини  Молочний S | Category: Термо лосини,,,,
Термо лосини  Графіт S,370.0,650.0,Термо лосини  Графіт S | Category: Термо лосини,,,,
Термо лосини  Шоколад S,370.0,650.0,Термо лосини  Шоколад S | Category: Термо лосини,,,,
Термо лосини  Білий М,322.3,650.0,Термо лосини  Білий М | Category: Термо лосини,,,,
Термо лосини  Графіт М,370.0,650.0,Термо лосини  Графіт М | Category: Термо лосини,,,,
Термо лосини  Молочний М,370.0,650.0,Термо лосини  Молочний М | Category: Термо лосини,,,,
Термо лосини  Чорний М,370.0,650.0,Термо лосини  Чорний М | Category: Термо лосини,,,,
Термо лосини  Шоколад М,322.9,650.0,Термо лосини  Шоколад М | Category: Термо лосини,,,,
Термо лосини  Білий L,345.0,650.0,Термо лосини  Білий L | Category: Термо лосини,,,,
Термо лосини  Графіт L,322.9,650.0,Термо лосини  Графіт L | Category: Термо лосини,,,,
Термо лосини  Молочний L,360.0,650.0,Термо лосини  Молочний L | Category: Термо лосини,,,,
Термо лосини  Чорний L,370.0,650.0,Термо лосини  Чорний L | Category: Термо лосини,,,,
Термо лосини  Шоколад L,0.0,650.0,Термо лосини  Шоколад L | Category: Термо лосини,,,,
Термо лосини штрипка (високий зріст ) S,337.5,650.0,Термо лосини штрипка (високий зріст ) S | Category: Термо лосини,,,,
Термо лосини штрипка низький зріст S,337.5,650.0,Термо лосини штрипка низький зріст S | Category: Термо лосини,,,,
Термо лосини штрипка низький зріст М,337.5,650.0,Термо лосини штрипка низький зріст М | Category: Термо лосини,,,,
Термо лосини  Карамель М,354.3,650.0,Термо лосини  Карамель М | Category: Термо лосини,,,,
Термо лосини  Карамель L,322.9,650.0,Термо лосини  Карамель L | Category: Термо лосини,,,,
Термо лосини  Чорний  XL,346.15,650.0,Термо лосини  Чорний  XL | Category: Термо лосини,,,,
Термо лосини  Чорний  3XL,322.9,650.0,Термо лосини  Чорний  3XL | Category: Термо лосини,,,,
Термо лосини  Карамель С,370.0,650.0,Термо лосини  Карамель С | Category: Термо лосини,,,,
Термо кофта Карамель L,370.0,650.0,Термо кофта Карамель L | Category: Термо лосини,,,,
