productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Топ 5 Рожевий L,284.0,550.0,Топ 5 Рожевий L | Category: Топ 5,,,,
Топ 5 Тіфані L,284.0,550.0,Топ 5 Тіфані L | Category: Топ 5,,,,
Топ 5 Ліловий L,284.0,550.0,Топ 5 Ліловий L | Category: Топ 5,,,,
Топ 5 Фіолетовий L,284.0,550.0,Топ 5 Фіолетовий L | Category: Топ 5,,,,
Топ 5 Чорний L,284.0,550.0,Топ 5 Чорний L | Category: Топ 5,,,,
Топ 5 Фіолетовий M,284.0,550.0,Топ 5 Фіолетовий M | Category: Топ 5,,,,
Топ 5 Ліловий M,284.0,550.0,Топ 5 Ліловий M | Category: Топ 5,,,,
Топ 5 Тіфані M,284.0,550.0,Топ 5 Тіфані M | Category: Топ 5,,,,
Топ 5 Тіфані S,284.0,550.0,Топ 5 Тіфані S | Category: Топ 5,,,,
Топ 5 Ліловий S,284.0,550.0,Топ 5 Ліловий S | Category: Топ 5,,,,
Топ 5 Рожевий S,284.0,550.0,Топ 5 Рожевий S | Category: Топ 5,,,,
Топ 5 Фіолетовий S,284.0,550.0,Топ 5 Фіолетовий S | Category: Топ 5,,,,
