productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Трусики шорти Білий L XL,129.6,275.0,Трусики шорти Білий L XL | Category: Трусики шорти,,,,
Трусики шорти Чорний SM,123.3,275.0,Трусики шорти Чорний SM | Category: Трусики шорти,,,,
Трусики шорти Графіт SM,123.3,275.0,Трусики шорти Графіт SM | Category: Трусики шорти,,,,
Трусики шорти Мокко SM,123.3,275.0,Трусики шорти Мокко SM | Category: Трусики шорти,,,,
Трусики шорти  Беж SM,129.6,275.0,Трусики шорти  Беж SM | Category: Трусики шорти,,,,
Трусики шорти Шоколад SM,123.3,275.0,Трусики шорти Шоколад SM | Category: Трусики шорти,,,,
Трусики шорти Білий SM,107.67,275.0,Трусики шорти Білий SM | Category: Трусики шорти,,,,
Трусики шорти Чорний L XL,131.52,275.0,Трусики шорти Чорний L XL | Category: Трусики шорти,,,,
Трусики шорти  Рожевий SM,129.01,275.0,Трусики шорти  Рожевий SM | Category: Трусики шорти,,,,
Трусики шорти Шоколад ЛХЛ,129.6,275.0,Трусики шорти Шоколад ЛХЛ | Category: Трусики шорти,,,,
Трусики шорти Графіт L XL,129.6,275.0,Трусики шорти Графіт L XL | Category: Трусики шорти,,,,
Трусики шорти Мокко L XL,129.6,275.0,Трусики шорти Мокко L XL | Category: Трусики шорти,,,,
Трусики шорти Беж L XL,129.6,275.0,Трусики шорти Беж L XL | Category: Трусики шорти,,,,
Трусики шорти  Молочний SM,123.3,275.0,Трусики шорти  Молочний SM | Category: Трусики шорти,,,,
