productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Спідниця-шорти Чорний С,455.66,790.0,Спідниця-шорти Чорний С | Category: Шорти,,,,
Спідниця-шорти Чорний М,465.0,790.0,Спідниця-шорти Чорний М | Category: Шорти,,,,
Спідниця-шорти Чорний Л,444.8,790.0,Спідниця-шорти Чорний Л | Category: Шорти,,,,
Спідниця-шорти Молочний С,503.5,790.0,Спідниця-шорти Молочний С | Category: Шорти,,,,
Спідниця-шорти Молочний М,503.5,790.0,Спідниця-шорти Молочний М | Category: Шорти,,,,
Спідниця-шорти Рожевий С,456.0,790.0,Спідниця-шорти Рожевий С | Category: Шорти,,,,
Спідниця-шорти Рожевий М,479.81,790.0,Спідниця-шорти Рожевий М | Category: Шорти,,,,
Шорти костюм ЛІФ Чорний М,0.0,600.0,Шорти костюм ЛІФ Чорний М | Category: Шорти,,1452.0,,
Спідниця-шорти Білий С,458.4,790.0,Спідниця-шорти Білий С | Category: Шорти,,,,
Спідниця-шорти Білий М,457.96,790.0,Спідниця-шорти Білий М | Category: Шорти,,,,
Спідниця-шорти Червоний М,458.4,790.0,Спідниця-шорти Червоний М | Category: Шорти,,,,
Спідниця-шорти Червоний С,453.6,790.0,Спідниця-шорти Червоний С | Category: Шорти,,,,
Шорти Про комфорт,260.7,270.0,Шорти Про комфорт | Category: Шорти,,,,
Шорти PUDRA Чорний S,139.92,550.0,Шорти PUDRA Чорний S | Category: Шорти,,,,
Шорти PUDRA Cлива М,137.13,550.0,Шорти PUDRA Cлива М | Category: Шорти,,,,
Шорти PUDRA Чорний L,137.13,550.0,Шорти PUDRA Чорний L | Category: Шорти,,,,
Шорти PUDRA Cлива S,137.13,550.0,Шорти PUDRA Cлива S | Category: Шорти,,,,
Шорти PUDRA Чорний М,141.28,550.0,Шорти PUDRA Чорний М | Category: Шорти,,,,
Шорти PUDRA Cлива L,137.13,550.0,Шорти PUDRA Cлива L | Category: Шорти,,,,
Шорти PUDRA Синій S,137.13,550.0,Шорти PUDRA Синій S | Category: Шорти,,,,
Шорти PUDRA Синій M,137.13,550.0,Шорти PUDRA Синій M | Category: Шорти,,,,
Шорти PUDRA Синій L,137.13,550.0,Шорти PUDRA Синій L | Category: Шорти,,,,
Шорти PUDRA Беж S,137.13,550.0,Шорти PUDRA Беж S | Category: Шорти,,,,
Шорти PUDRA Беж M,137.13,550.0,Шорти PUDRA Беж M | Category: Шорти,,,,
Шорти PUDRA Беж L,284.0,550.0,Шорти PUDRA Беж L | Category: Шорти,,,,
Шорти PUDRA Вино S,152.36,550.0,Шорти PUDRA Вино S | Category: Шорти,,,,
Шорти PUDRA Вино M,137.13,550.0,Шорти PUDRA Вино M | Category: Шорти,,,,
Шорти PUDRA Вино L,137.13,550.0,Шорти PUDRA Вино L | Category: Шорти,,,,
Шорти PUDRA Графіт S,144.34,550.0,Шорти PUDRA Графіт S | Category: Шорти,,,,
Шорти PUDRA Графіт М,148.55,550.0,Шорти PUDRA Графіт М | Category: Шорти,,,,
Шорти PUDRA Графіт L,137.13,550.0,Шорти PUDRA Графіт L | Category: Шорти,,,,
