productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Шорти БЕЗ ПА Цегла S,0.01,575.0,Шорти БЕЗ ПА Цегла S | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Рожевий L,323.0,575.0,Шорти БЕЗ ПА Рожевий L | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Чорний С,298.06,575.0,Шорти БЕЗ ПА Чорний С | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Чорний М,323.0,575.0,Шорти БЕЗ ПА Чорний М | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Чорний Л,323.0,575.0,Шорти БЕЗ ПА Чорний Л | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Фісташка С,353.0,575.0,Шорти БЕЗ ПА Фісташка С | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Рожевий М,353.8,575.0,Шорти БЕЗ ПА Рожевий М | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Рожевий С,353.8,575.0,Шорти БЕЗ ПА Рожевий С | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Фісташка М,353.0,575.0,Шорти БЕЗ ПА Фісташка М | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Фісташка Л,323.0,575.0,Шорти БЕЗ ПА Фісташка Л | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Шоколад Л,323.0,575.0,Шорти БЕЗ ПА Шоколад Л | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Шоколад М,323.0,575.0,Шорти БЕЗ ПА Шоколад М | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Шоколад С,323.0,575.0,Шорти БЕЗ ПА Шоколад С | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Блакитний Л,323.0,575.0,Шорти БЕЗ ПА Блакитний Л | Category: Шорти БЕЗ ПА,,,,
Шорти БЕЗ ПА Блакитний М,323.0,575.0,Шорти БЕЗ ПА Блакитний М | Category: Шорти БЕЗ ПА,,,,
